ticker,datetime,title,label,sentiment_score,confidence,CAR
TSLA,2024-06-01,TSLA updates corporate governance policy,neutral,-0.006189130762637884,0.6505437893923305,0.026486374847300216
GOOGL,2024-06-01,GOOGL to present at upcoming investor conference,neutral,0.10124272313633306,0.5470017529010406,0.015955943802589648
AAPL,2024-06-01,AAPL holds annual shareholder meeting,neutral,0.03346308179312088,0.5218001259965183,-0.020308932556253875
AMZN,2024-06-02,AMZN faces regulatory scrutiny over business practices,negative,-0.502487764725329,0.502487764725329,-0.004396345121973042
GOOGL,2024-06-02,GOOGL updates corporate governance policy,neutral,0.09815202735620593,0.8426192094298233,0.028749525006621278
AMZN,2024-06-02,AMZN updates corporate governance policy,neutral,-0.11725680097027952,0.8317714459530945,-0.014841780815910125
GOOGL,2024-06-03,GOOGL files standard quarterly report with SEC,neutral,-0.029981566159573397,0.8500430453290047,0.019273002846821756
NVDA,2024-06-03,NVDA faces regulatory scrutiny over business practices,negative,-0.751135570988345,0.751135570988345,-0.009215969890299838
META,2024-06-03,"META misses earnings expectations, shares under pressure",negative,-0.5513586228787927,0.5513586228787927,-0.051682687539090125
GOOGL,2024-06-04,Analysts upgrade GOOGL stock on positive outlook,positive,0.6410318997975353,0.6410318997975353,-0.015898247969795408
AMZN,2024-06-04,"AMZN misses earnings expectations, shares under pressure",negative,-0.42373303182576005,0.42373303182576005,-0.022890096415724294
TSLA,2024-06-04,TSLA announces routine board meeting schedule,neutral,-0.03818929760797975,0.5194793889255405,-0.021259000497607677
AAPL,2024-06-04,AAPL to present at upcoming investor conference,neutral,0.09693738298502841,0.7155767065056747,-0.01226299277875743
AMZN,2024-06-04,AMZN to present at upcoming investor conference,neutral,0.04567728193975662,0.8292509269664746,-0.0012837608170612434
TSLA,2024-06-04,TSLA holds annual shareholder meeting,neutral,0.06173910108884645,0.6207059466787723,-0.0012568165148939933
AMZN,2024-06-05,AMZN faces regulatory scrutiny over business practices,negative,-0.7695676583088528,0.7695676583088528,-0.006320360536469643
AMZN,2024-06-05,AMZN beats quarterly earnings estimates by wide margin,positive,0.4658442172670438,0.4658442172670438,0.005848572434735077
AMZN,2024-06-06,AMZN updates corporate governance policy,neutral,-0.14967976049317583,0.5849108555362972,-0.008569150499021396
MSFT,2024-06-06,MSFT announces routine board meeting schedule,neutral,0.09028915609250285,0.8711181720689122,0.005310138980224585
MSFT,2024-06-06,MSFT unveils breakthrough product to strong reception,positive,0.4847940102587652,0.4847940102587652,-0.014597517255358183
AMZN,2024-06-06,AMZN files standard quarterly report with SEC,neutral,-0.08544651761138444,0.734308530061889,-0.025841695380620717
NVDA,2024-06-06,NVDA stock rallies on optimistic guidance,positive,0.42956294692119096,0.42956294692119096,0.0338542639761005
MSFT,2024-06-06,MSFT shares slide after disappointing guidance,negative,-0.5016976085243766,0.5016976085243766,-0.008523982347590706
TSLA,2024-06-06,TSLA stock rallies on optimistic guidance,positive,0.6703746045065433,0.6703746045065433,0.010747856551303262
TSLA,2024-06-06,TSLA holds annual shareholder meeting,neutral,-0.06468085962797733,0.6215186473639777,0.03575430390018074
GOOGL,2024-06-07,GOOGL files standard quarterly report with SEC,neutral,0.016319707013929097,0.6282862186776305,0.015734689682516362
NVDA,2024-06-07,NVDA holds annual shareholder meeting,neutral,0.14025291973026302,0.6303301432552608,-0.01417166076900361
AMZN,2024-06-07,AMZN warns of slower growth in upcoming quarter,negative,-0.6734721249861721,0.6734721249861721,0.006807580294844495
NVDA,2024-06-08,NVDA announces routine board meeting schedule,neutral,0.0455008403804982,0.8485636346964855,-0.003593578556102341
NVDA,2024-06-08,Analysts upgrade NVDA stock on positive outlook,positive,0.4929908726887498,0.4929908726887498,0.015062740377401148
AMZN,2024-06-08,AMZN warns of slower growth in upcoming quarter,negative,-0.4408961517586739,0.4408961517586739,0.022934430407020596
GOOGL,2024-06-08,GOOGL unveils breakthrough product to strong reception,positive,0.43115618982606513,0.43115618982606513,0.006529513851103712
META,2024-06-08,META announces layoffs amid cost-cutting measures,negative,-0.7446736327193403,0.7446736327193403,-0.0067701708113548
GOOGL,2024-06-08,GOOGL to present at upcoming investor conference,neutral,0.035026853723192725,0.716945760920882,-0.007642369739246638
